ip,timestamp,url,status,bytes
192.168.1.10,10:01,/index.html,200,1200
192.168.1.20,10:02,/login,200,5000
192.168.1.10,10:03,/image.png,200,3400
192.168.1.30,10:04,/index.html,404,800
192.168.1.20,10:05,/data.json,200,2300
192.168.1.10,10:06,/style.css,200,900
192.168.1.30,10:07,/login,200,4500
192.168.1.20,10:08,/image.png,200,7200
192.168.1.10,10:09,/api,500,1000
192.168.1.30,10:10,/data.json,200,1800
192.168.1.20,10:11,/index.html,200,2500
192.168.1.10,10:12,/download.zip,200,15000
192.168.1.30,10:13,/image.png,200,6200
192.168.1.20,10:14,/api,200,1300
192.168.1.10,10:15,/logout,200,400
192.168.1.30,10:16,/style.css,200,700
192.168.1.20,10:17,/download.zip,200,12000
192.168.1.10,10:18,/data.json,200,2100
192.168.1.30,10:19,/api,500,900
192.168.1.20,10:20,/logout,200,300
